ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
2642 STATE ROUTE 76,WILLOW SPRINGS,MO,65793,36.9820132,-91.9904218
7701 LITTLE RD,NEW PORT RICHEY,FL,34654,28.2688628,-82.6752623
444 FOXON RD,EAST HAVEN,CT,06513,41.3234844,-72.84171649999999
450 SE US HIGHWAY 19,CRYSTAL RIVER,FL,34429,28.8915193,-82.58539549999999
32 UNION ST,WINSTED,CT,06098,41.9221282,-73.0718825
500 BIC DR,MILFORD,CT,06461,41.2193386,-73.1012958
231 FARMINGTON AVE,FARMINGTON,CT,06032,41.7370812,-72.7929235
3903 NORTHDALE BLVD,TAMPA,FL,33624,28.0947021,-82.5069551
267 FINCH AVENUE,MERIDEN,CT,06451,41.539236,-72.85220249999999
33 JAMES REYNOLDS RD E,SWANSEA,MA,02777,41.7704868,-71.2644519
403 MAIN ST,ELK RIVER,MN,55330,45.3029734,-93.5608931
605A ORANGE CENTER ROAD,ORANGE,CT,06477,41.2781744,-73.02508759999999
1883E MAPLE RD,TROY,MI,48083,42.5495007,-83.1105276
114 CALLE ELEONOR ROOSEVELT,SAN JUAN,PR,00918,18.4208539,-66.0582575
130 W ELM ST,LANCASTER,WI,53813,42.8496649,-90.7103391
198S MAIN ST 1,MOUNT CLEMENS,MI,48043,42.5905437,-82.88153609999999
900 N ROBERT AVE,ARCADIA,FL,34266,27.227471,-81.8510371
15 ESSEX RD 301,PARAMUS,NJ,07652,40.9313216,-74.0784127
4200 PARK AVE,BRIDGEPORT,CT,06604,41.213023,-73.2307831
363 ACADEMY ST,BISHOP,CA,93514,37.3633966,-118.3978513
13815 KINSMAN AVE,CLEVELAND,OH,44120,41.4648179,-81.586376
105 COMMERCE ST,ALICE,TX,78332,27.7522487,-98.0697249
8201 PORT AUSTIN RD,PIGEON,MI,48755,43.9035667,-83.32138580000002
CLAY COUNTY HOME HEALTH,MANCHESTER,KY,40962,37.1537007,-83.7618641
101 ASHLAND WAY,MADISONVILLE,LA,70447,30.466428,-90.1836587
19207 SUMMER ISLAND WAY,RICHMOND,TX,77407,29.682174,-95.7193286
2955E HILLCREST DR 123,THOUSAND OAKS,CA,91362,34.1734698,-118.8344337
1907 HWY 97 EAST,JOURDANTON,TX,78026,28.9777556,-98.4693171
3515 SPRINGDALE ROAD,CINCINNATI,OH,45251,39.2500596,-84.593904
25700 I-45 NORTH,SPRING,TX,77386,30.1358514,-95.4427616
2729 S HIGHWAY 65 & 82,LAKE VILLAGE,AR,71653,33.3025202,-91.2821187
"1110 HIGHWAY 75 NORTH, SUITE A",BRECKENRIDGE,MN,56520,46.2759241,-96.5860115
AVE. DE DIEGO 580,SAN JUAN,PR,00920,18.4067306,-66.0885694
16446 WOODRUFF AVE B,BELLFLOWER,CA,90706,33.8838893,-118.1170685
10001 W ROOSEVELT RD,WESTCHESTER,IL,60154,41.8631963,-87.8731616
2692S AVENUE B 2,YUMA,AZ,85364,32.6786208,-114.6508977
1216 W VETERANS BLVD,PALMVIEW,TX,78572,26.2385109,-98.3840589
2450 VENTURE OAKS WAY,SACRAMENTO,CA,95833,38.6080674,-121.5103569
1333 COLLEGE AVE A,SOUTH MILWAUKEE,WI,53172,42.9296698,-87.8682147
88 RYDERS LN,STRATFORD,CT,06614,41.2428673,-73.10191549999999
740 E LAUREL RD,LONDON,KY,40741,37.1177469,-84.0402032
14410 S MILITARY TRL,DELRAY BEACH,FL,33484,26.4633008,-80.1216816
869E FOOTHILL BLVD B,UPLAND,CA,91786,34.1083009,-117.6393662
6811 PALISADES PARK CT,FORT MYERS,FL,33912,26.5412202,-81.84254399999999
"9909 US HWY 441, UNIT 2, STE A",LEESBURG,FL,34788,28.82558989999999,-81.79236039999999
1145 MAIN STREET,SPRINGFIELD,MA,01103,42.100767,-72.58569709999999
200 LAIRD LN,WATSEKA,IL,60970,40.7780879,-87.7058476
3201 CHERRY RIDGE ST,SAN ANTONIO,TX,78230,29.50920259999999,-98.54724519999999
17111 BEACH BLVD 210,HUNTINGTON BEACH,CA,92647,33.713943,-117.989607
2 CABOT PL 1R,STOUGHTON,MA,02072,42.1537678,-71.0751193
3214E YANDELL DR,EL PASO,TX,79903,31.781455,-106.4561731
4343 BRIDGETOWN RD,CINCINNATI,OH,45211,39.1576638,-84.6227191
215 EXECUTIVE WAY 120A,DESOTO,TX,75115,32.6229114,-96.8607559
3302 BLUERIDGE LN,GARLAND,TX,75042,32.9267031,-96.6794597
215 ROUTE 31,FLEMINGTON,NJ,08822,40.5363838,-74.8582258
"105 E HACKBERRY ST, STE B",PEARSALL,TX,78061,28.8970424,-99.08491199999999
1323 HWY 9 NORTH,SALEM,AR,72576,36.391633,-91.802498
6001 N.W. 153RD STREET,MIAMI LAKES,FL,33014,25.9127546,-80.2995328
4420 COOPER RD,CINCINNATI,OH,45242,39.2377823,-84.3872713
34650 US HIGHWAY 19 N,PALM HARBOR,FL,34684,28.0871322,-82.74023389999999
2416 THORS HAMMER BLVD,BROWNSVILLE,TX,78526,25.9488254,-97.4831286
355 FONT MARTELLO AVENUE,HUMACAO,PR,00791,18.1549858,-65.8354114
9502 COMPUTER DR 102,SAN ANTONIO,TX,78229,29.5282266,-98.5615988
28436 CONSTELLATION RD,VALENCIA,CA,91355,34.45414570000001,-118.5764305
1130W OLIVE AVE B,BURBANK,CA,91506,34.170882,-118.3187827
3027 WILLOWOOD RD,EDMOND,OK,73034,35.6494652,-97.44178149999999
211 HELICOPTER LN,MORRILTON,AR,72110,35.1526163,-92.7437844
19531 PARTHENIA ST B,NORTHRIDGE,CA,91324,34.2287997,-118.5589314
140 INTRACOASTAL POINTE DR,JUPITER,FL,33477,26.9357973,-80.0882663
620 EAST COLLEGE STREET,HOMER,LA,71040,32.7941893,-93.0613877
881 ALMA REAL DR T9B,PACIFIC PALISADES,CA,90272,34.0448192,-118.5255765
215S POPLAR ST,TOMBALL,TX,77375,30.0937006,-95.619537
16083 SW UPPER BOONES FERRY RD,PORTLAND,OR,97224,45.4039152,-122.7511055
119 SANFORD ST,HAMDEN,CT,06514,41.3823876,-72.91655709999999
3-3367 KUHIO HWY,LIHUE,HI,96766,21.9944856,-159.3543313
LIFETIME MEDICAL SUPPORT SERVICES,PAWTUCKET,RI,02860,41.8745848,-71.39866990000002
245S 84TH ST 300,LINCOLN,NE,68510,40.8119497,-96.6070503
206 LITTLE CANADA RD E,SAINT PAUL,MN,55117,45.0232219,-93.0927177
983 OLD EAGLE SCHOOL RD 618,WAYNE,PA,19087,40.0761261,-75.40506979999999
1126W FOOTHILL BLVD 225,UPLAND,CA,91786,34.106322,-117.668475
400 CAPITAL BLVD,ROCKY HILL,CT,06067,41.64644819999999,-72.6639479
702 W INTERSTATE 2,PHARR,TX,78577,26.2080177,-98.1913479
534 FROST RD,WATERBURY,CT,06705,41.5536343,-73.0004203
320 CENTRAL ST 2A,SAUGUS,MA,01906,42.46321529999999,-71.009372
3910 ADLER PL,BETHLEHEM,PA,18017,40.6705228,-75.3821151
879 W 190TH ST,GARDENA,CA,90248,33.8600825,-118.2894103
1414 UTICA AVE 2,BROOKLYN,NY,11203,40.6380463,-73.92927949999999
5761 SPRINGDALE ROAD,CINCINNATI,OH,45247,39.230116,-84.62955819999999
1701 JACAMAN RD RP8-F,LAREDO,TX,78041,27.5599298,-99.4686145
40 COLD SPRING RD,ROCKY HILL,CT,06067,41.6425498,-72.6796383
151 INDUSTRIAL DR,FESTUS,MO,63028,38.1977133,-90.39139329999999
10 LOVE LN,HARTFORD,CT,06112,41.7920011,-72.6810266
599 CANAL ST 6E-9,LAWRENCE,MA,01840,42.7037904,-71.16599649999999
