CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon,lat_google,lon_google,updated_by_google
177202,2872 N RIDGE RD,WICHITA,KS,67205,37.7360475,-97.4246097,,,False
047140,204 BRAGG ST,WARREN,AR,71671,33.613606,-92.077589,,,False
467001,2830S REDWOOD RD A,WEST VALLEY CITY,UT,84119,40.70931,-111.9396688,40.70931,-111.9396688,True
387026,2275 NE DOCTORS DR,BEND,OR,97701,44.0700239,-121.2661859,,,False
107635,2075 CENTRE POINTE BLVD,TALLAHASSEE,FL,32308,30.4745881,-84.2384512,,,False
058450,535 N BRAND BLVD,GLENDALE,CA,91203,34.1543002,-118.2553891,,,False
357037,3223 32ND AVE S,FARGO,ND,58103,46.8314931,-96.8918383,,,False
497455,7323 BOULDER VIEW LN,RICHMOND,VA,23225,37.5132817,-77.5309544,37.5132817,-77.5309544,True
037229,2432 W PEORIA AVE,PHOENIX,AZ,85029,33.584133,-112.1107852,,,False
337281,50 CLINTON ST,HEMPSTEAD,NY,11550,40.7088076,-73.6184931,,,False
497033,1896 PRESTON WHITE DR,RESTON,VA,20191,38.9422612,-77.3276424,,,False
267032,101 FURR ST,FAYETTE,MO,65248,39.139815,-92.689353,,,False
417055,588 PAWTUCKET AVE,PAWTUCKET,RI,02860,41.8573038,-71.3991279,,,False
177090,9920 E HARRY ST,WICHITA,KS,67207,37.6647487,-97.2229505,,,False
267253,9735 LANDMARK PARKWAY DR,SAINT LOUIS,MO,63127,38.5264507,-90.3979943,,,False
167024,1114 DUFF AVE,AMES,IA,50010,42.0322917,-93.6104913,,,False
157550,10700 PARK PL,SAINT JOHN,IN,46373,41.423419,-87.44230300000001,41.423419,-87.44230300000001,True
317048,300 HARPER DR,MOORESTOWN,NJ,08057,39.948702,-74.951159,,,False
679470,6080 SURETY DRIVE,EL PASO,TX,79905,31.7795624,-106.4100178,,,False
297113,2770 S MARYLAND PKWY,LAS VEGAS,NV,89109,36.1393277,-115.1358218,,,False
377031,613 S. MISSISSIPPI,ATOKA,OK,74525,34.3808231,-96.1305155,,,False
453127,12660 COIT RD,DALLAS,TX,75251,32.920901,-96.768805,,,False
177272,1100 COLUMBINE DR,HOLTON,KS,66436,39.4796259,-95.7551836,,,False
267583,4918 WEBER RD,SAINT LOUIS,MO,63123,38.552271,-90.2806313,,,False
477018,46 LAKEMONT RD,NEWPORT,VT,05855,44.9552703,-72.1978478,,,False
058378,21021 DEVONSHIRE ST,CHATSWORTH,CA,91311,34.2573226,-118.5912865,,,False
058263,12370 PERRIS BLVD,MORENO VALLEY,CA,92557,33.9413934,-117.2262708,,,False
673124,604 N MAIN ST,BOERNE,TX,78006,29.7982175,-98.7343878,,,False
207000,15  INDUSTRIAL PARK               RD,SACO,ME,04072,43.5191947,-70.4485222,,,False
417049,30 ROLFE SQUARE,CRANSTON,RI,02910,41.7779597,-71.4359173,,,False
167188,200 JEFFERSON ST,WEST UNION,IA,52175,42.967757,-91.811265,,,False
108095,3408 W 84 STREET BUILDING G,HIALEAH,FL,33018,25.8969993,-80.3528213,25.8969993,-80.3528213,True
058332,1720 E LOS ANGELES AVE,SIMI VALLEY,CA,93065,34.270987,-118.765509,,,False
247269,7111 FORTHUN RD,BAXTER,MN,56425,46.347623,-94.2531732,,,False
248088,2076 SAINT ANTHONY AVE,SAINT PAUL,MN,55104,44.9520806,-93.167107,,,False
058080,3505 HART AVE,ROSEMEAD,CA,91770,34.072787,-118.0688519,,,False
237543,37799 PROFESSIONAL CENTER DR 103,LIVONIA,MI,48154,42.4093305,-83.4170295,42.4093305,-83.4170295,True
107618,13923 ICOT BLVD,CLEARWATER,FL,33760,27.8984567,-82.7143968,27.8984567,-82.7143968,True
267555,1500 HWY 72,ROLLA,MO,65401,37.9569101,-91.7760245,37.9569101,-91.7760245,True
227009,60 HOSPITAL RD,LEOMINSTER,MA,01453,42.5403192,-71.7631299,,,False
058406,23210 CRENSHAW BLVD 200,TORRANCE,CA,90505,33.814824,-118.3275785,33.814824,-118.3275785,True
497596,7410 SPRING VILLAGE DRIVE,SPRINGFIELD,VA,22150,38.7692817,-77.2042556,38.7692817,-77.2042556,True
037230,1212N SPENCER 1,MESA,AZ,85203,33.4374038,-111.8074878,33.4374038,-111.8074878,True
127013,680 IWILEI RD 660,HONOLULU,HI,96817,21.3164212,-157.8705002,21.3164212,-157.8705002,True
267511,3322 S CAMPBELL AVE,SPRINGFIELD,MO,65807,37.1532558,-93.293874,,,False
037231,2737 W BASELINE RD,TEMPE,AZ,85283,33.3769633,-111.9777331,,,False
058443,2204 TORRANCE BLVD,TORRANCE,CA,90501,33.8360629,-118.3217161,,,False
673108,2023 DEEPWOOD ST,MESQUITE,TX,75181,32.7401235,-96.5492123,,,False
527137,990 MAIN STREET,BALDWIN,WI,54002,44.966634,-92.3747021,,,False
387151,4560 SE INTERNATIONAL WAY,MILWAUKIE,OR,97222,45.4354995,-122.6166862,,,False
167288,104 W SOUTHRIDGE RD,MARSHALLTOWN,IA,50158,42.017701,-92.9142535,,,False
058018,8929 S SEPULVEDA BLVD,WESTCHESTER,CA,90045,33.9551029,-118.3963772,,,False
247216,1409 MN-7,MONTEVIDEO,MN,56265,44.9523996,-95.7097208,,,False
058382,135 S JACKSON ST,GLENDALE,CA,91205,34.1450648,-118.2504361,,,False
453195,2608 TEXAS DRIVE,IRVING,TX,75062,32.8409552,-96.972726,,,False
147780,2720 S RIVER RD,DES PLAINES,IL,60018,42.0035565,-87.8654014,,,False
057659,980 TRANCAS ST,NAPA,CA,94558,38.3242166,-122.295515,,,False
557433,441 COLLEGE AVE,SANTA ROSA,CA,95401,38.4458321,-122.7190475,,,False
557792,1414 S AZUSA AVE,WEST COVINA,CA,91791,34.04776,-117.90688,,,False
217034,1 FREDERICK HEALTH WAY,FREDERICK,MD,21701,39.4534584,-77.3944512,,,False
197135,110 NORTH FRONT STREET,OAK GROVE,LA,71263,32.8638602,-91.388981,,,False
177185,302 N HOSPITAL DR,GIRARD,KS,66743,37.5146608,-94.857319,,,False
057256,2127 HARRISON AVE,EUREKA,CA,95501,40.7879958,-124.139496,,,False
157558,9721 PRAIRIE AVE,HIGHLAND,IN,46322,41.5375022,-87.4761218,,,False
147207,5101 WILLOW SPRINGS RD,LA GRANGE,IL,60525,41.7888841,-87.8880919,,,False
107527,8147 COPERNICUS WAY 101,TRINITY,FL,34655,28.2104359,-82.6791456,28.2104359,-82.6791456,True
497594,10043 MIDLOTHIAN TPKE,NORTH CHESTERFIELD,VA,23235,37.5057007,-77.5823265,37.5057007,-77.5823265,True
227072,310 BAKER AVE,CONCORD,MA,01742,42.4602288,-71.3900216,,,False
197558,3636 S I-10 SERVICE ROAD W,METAIRIE,LA,70001,29.9970873,-90.1635989,,,False
227288,67 HUNT ST,AGAWAM,MA,01001,42.0830876,-72.5937373,,,False
077136,12 PROGRESS DR,SHELTON,CT,06484,41.2727858,-73.1311008,41.2727858,-73.1311008,True
673187,801 S HIGHWAY 78,WYLIE,TX,75098,33.0217372,-96.5241081,,,False
557116,1350 BAYSHORE HWY,BURLINGAME,CA,94010,37.594585,-122.3638645,,,False
347110,1005 SLATER RD,DURHAM,NC,27703,35.877633,-78.8415629,,,False
673172,4312 ONYX DR,CARROLLTON,TX,75010,33.0301527,-96.8662592,,,False
097024,1100 H ST NW,WASHINGTON,DC,20005,38.899733,-77.02719,,,False
217045,134 INDUSTRY LN,FOREST HILL,MD,21050,39.5772355,-76.3706027,,,False
377632,121 S 5TH ST,HENRYETTA,OK,74437,35.4395409,-95.9871416,,,False
237592,1404 EUREKA RD,WYANDOTTE,MI,48192,42.2000524,-83.1694631,,,False
307046,312 MARLBORO ST,KEENE,NH,03431,42.9236626,-72.2645663,,,False
367447,1111N PLUM ST 5,SPRINGFIELD,OH,45504,39.9385301,-83.8172805,39.9385301,-83.8172805,True
057200,10875 PIONEER TRL,TRUCKEE,CA,96161,39.3344396,-120.1819435,,,False
673101,405 N MAIN ST,MCALLEN,TX,78501,26.2076129,-98.2339443,,,False
368003,4600 MCAULEY PL,BLUE ASH,OH,45242,39.244592,-84.380562,,,False
237569,30275 W 13 MILE RD,FARMINGTON HILLS,MI,48334,42.5138785,-83.3521374,,,False
457937,1221 ARISTA DR,ROCKWALL,TX,75032,32.8878639,-96.472116,32.8878639,-96.472116,True
457858,6112 N 10TH ST,MCALLEN,TX,78504,26.258272,-98.2205923,,,False
457953,4715 MONARCH FALLS LN,RICHMOND,TX,77469,29.4957324,-95.7671031,29.4957324,-95.7671031,True
248056,25 1ST AVE NE,BUFFALO,MN,55313,45.1723589,-93.8749189,,,False
108150,14680 SW 8TH ST,MIAMI,FL,33184,25.7594549,-80.4319148,,,False
467061,576 W 900 S,WOODS CROSS,UT,84010,40.883269,-111.905234,,,False
327188,215 W 3RD ST,ROSWELL,NM,88201,33.39546,-104.5247339,,,False
368079,4850 SMITH RD,CINCINNATI,OH,45212,39.1631981,-84.4535557,39.1631981,-84.4535557,True
407051,359 DE DIEGO AVE,SAN JUAN,PR,00909,18.4465558,-66.0679092,18.4465558,-66.0679092,True
077159,97 BARNES RD,WALLINGFORD,CT,06492,41.4848229,-72.8025924,41.4848229,-72.8025924,True
177275,312 E CUSTER ST,NESS CITY,KS,67560,38.4581143,-99.9013138,38.4581143,-99.9013138,True
337261,2555 OCEAN AVE,BROOKLYN,NY,11229,40.5991824,-73.9511732,,,False
377580,2028 E MEMORIAL RD,EDMOND,OK,73013,35.6092711,-97.4259043,,,False
557685,2490 HONOLULU AVE,MONTROSE,CA,91020,34.2072844,-118.2338857,34.2072844,-118.2338857,True
027014,212 CARLANNA LAKE RD,KETCHIKAN,AK,99901,55.3541673,-131.6873979,,,False
507079,11800 NE 128TH ST #200,KIRKLAND,WA,98034,47.71527039999999,-122.1842148,47.71527039999999,-122.1842148,True
108169,1681 W 37TH ST,HIALEAH,FL,33012,25.8555637,-80.3166019,,,False
108125,1269 E SILVER SPRINGS BLVD,OCALA,FL,34470,29.1871204,-82.1217595,,,False
117081,3633 WHEELER RD,AUGUSTA,GA,30909,33.4830486,-82.0892635,,,False
248085,10550 WAYZATA BLVD,MINNETONKA,MN,55305,44.9726418,-93.4072511,,,False
368093,4641 LEAP CT,HILLIARD,OH,43026,40.0345169,-83.1400026,,,False
297130,1601 S RAINBOW BLVD,LAS VEGAS,NV,89146,36.1462419,-115.2429292,,,False
058158,6422 BELLINGHAM AVE 210,NORTH HOLLYWOOD,CA,91606,34.1874377,-118.3984744,34.1874377,-118.3984744,True
237446,43184 DEQUINDRE RD,STERLING HEIGHTS,MI,48314,42.6083431,-83.090619,,,False
507004,4200 6TH AVE SE,LACEY,WA,98503,47.0435563,-122.831325,,,False
077205,999 ORONOQUE LN,STRATFORD,CT,06614,41.2482468,-73.1021419,,,False
307040,107 NEWPORT RD,NEW LONDON,NH,03257,43.4214881,-71.9960837,,,False
077226,700 W JOHNSON AVE,CHESHIRE,CT,06410,41.5586508,-72.9177977,41.5586508,-72.9177977,True
237581,4611 ALLEN RD,ALLEN PARK,MI,48101,42.2686385,-83.1979957,,,False
557482,11879 KEMPER RD,AUBURN,CA,95603,38.9316874,-121.091935,38.9316874,-121.091935,True
147807,2111 CHESTNUT AVE,GLENVIEW,IL,60025,42.0873148,-87.8107698,,,False
177053,620 W CENTRAL AVE,EL DORADO,KS,67042,37.8175025,-96.8570681,,,False
057187,15050 IMPERIAL HWY,LA MIRADA,CA,90638,33.9170239,-118.010331,,,False
037125,3075 N SWAN RD,TUCSON,AZ,85712,32.2307745,-110.8925788,,,False
679023,409 E CENTERVILLE RD,GARLAND,TX,75041,32.8742406,-96.6272261,,,False
457894,10470 VISTA DEL SOL DR,EL PASO,TX,79925,31.7568985,-106.3458817,,,False
467217,5250 S COMMERCE DR,MURRAY,UT,84107,40.6506281,-111.9013682,,,False
108177,1380 NE MIAMI GARDENS DRIVE,NORTH MIAMI BEACH,FL,33179,25.9442667,-80.1735384,,,False
457950,13004 MURPHY RD,STAFFORD,TX,77477,29.633794,-95.5649434,,,False
678078,8200 BROOKRIVER DR,DALLAS,TX,75247,32.8225015,-96.8677421,,,False
177101,805 BROADWAY,MARYSVILLE,KS,66508,39.841622,-96.6478701,,,False
677828,905 W EMBERCREST DR,ARLINGTON,TX,76017,32.6683507,-97.1217963,,,False
248087,2395 ARIEL ST N,MAPLEWOOD,MN,55109,45.0134824,-93.0152109,,,False
227003,34 PEARLY LN,GARDNER,MA,01440,42.5940852,-71.9621872,,,False
407031,CALLE RAFOLS #125,QUEBRADILLAS,PR,00678,18.4724349,-66.9394185,,,False
297036,7380 W SAHARA AVE,LAS VEGAS,NV,89117,36.1439459,-115.2536662,,,False
347042,3722 BRIDGES ST,MOREHEAD CITY,NC,28557,34.7257697,-76.7608302,,,False
337233,1 FOXCARE DR,ONEONTA,NY,13820,42.4562662,-75.0294915,,,False
057567,10507 GARDEN GROVE BLVD,GARDEN GROVE,CA,92843,33.7746645,-117.949151,,,False
108134,"548 NW UNIVERSITY BLVD, # 101",PORT ST LUCIE,FL,34986,27.3204721,-80.4021333,27.3204721,-80.4021333,True
287028,825 DORCAS ST,OMAHA,NE,68108,41.239344,-95.927148,,,False
237609,29930 W 12 MILE RD,FARMINGTON HILLS,MI,48334,42.499651,-83.3451808,,,False
527027,111 S JEFFERSON ST,LANCASTER,WI,53813,42.8477598,-90.7111809,,,False
058391,8215 VAN NUYS BLVD,PANORAMA CITY,CA,91402,34.2202662,-118.4491503,,,False
237614,2520 N EUCLID AVE,BAY CITY,MI,48706,43.6056704,-83.9150015,,,False
248076,2257 LOUISIANA AVE S,SAINT LOUIS PARK,MN,55426,44.9605534,-93.3705782,,,False
197178,1327 STELLY LANE,SULPHUR,LA,70663,30.2293346,-93.3678874,,,False
679431,107 S 4TH ST,MIDLOTHIAN,TX,76065,32.481756,-96.999085,,,False
