"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Survey response rate,Footnote for Survey response rate,Footnote Number
287087,3,,3,,89,,4,,86,,3,,83,,3,,85,,79,,175,,43,,
287089,4,,4,,91,,4,,87,,4,,86,,4,,90,,80,,138,,33,,
287090,Not Available,9,Not Available,9,63,9,Not Available,9,51,9,Not Available,9,80,9,Not Available,9,52,9,74,9,6,9,19,9,9
287095,Not Available,11,Not Available,11,85,11,Not Available,11,81,11,Not Available,11,81,11,Not Available,11,74,11,75,11,32,11,40,11,11
287101,4,11,3,11,89,11,5,11,91,11,4,11,86,11,4,11,89,11,82,11,57,11,47,11,11
287104,3,,3,,86,,4,,84,,2,,72,,3,,76,,68,,103,,35,,
287106,4,11,4,11,93,11,5,11,91,11,3,11,79,11,4,11,86,11,89,11,66,11,40,11,11
287110,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
287115,4,,4,,92,,4,,88,,4,,86,,4,,91,,85,,175,,42,,
287122,3,,2,,85,,3,,82,,2,,75,,3,,81,,74,,179,,25,,
287123,4,11,4,11,90,11,4,11,87,11,2,11,74,11,4,11,90,11,76,11,46,11,15,11,11
287124,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
287126,4,,4,,91,,5,,90,,3,,83,,4,,87,,85,,303,,31,,
287128,4,,4,,91,,5,,88,,3,,83,,4,,90,,87,,224,,29,,
287129,4,,4,,90,,4,,85,,4,,84,,3,,80,,72,,87,,30,,
287130,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
287131,4,11,4,11,91,11,4,11,82,11,3,11,80,11,3,11,85,11,75,11,49,11,25,11,11
287132,4,,3,,85,,4,,85,,4,,85,,3,,81,,78,,262,,42,,
287133,3,,3,,88,,4,,85,,3,,80,,3,,81,,74,,333,,30,,
287137,Not Available,11,Not Available,11,92,11,Not Available,11,78,11,Not Available,11,88,11,Not Available,11,85,11,78,11,23,11,21,11,11
287139,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
287140,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
287144,3,,3,,88,,4,,84,,3,,80,,3,,84,,81,,216,,49,,
287145,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
287150,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
287151,3,,3,,88,,3,,82,,2,,78,,3,,85,,70,,237,,24,,
287153,3,11,4,11,91,11,4,11,87,11,1,11,69,11,4,11,93,11,78,11,62,11,32,11,11
287154,4,,4,,92,,5,,87,,3,,79,,4,,90,,86,,323,,40,,
287155,3,,3,,87,,3,,83,,2,,76,,3,,76,,72,,200,,23,,
287157,5,,5,,92,,5,,90,,4,,86,,4,,86,,77,,144,,35,,
287158,Not Available,11,Not Available,11,91,11,Not Available,11,83,11,Not Available,11,82,11,Not Available,11,83,11,82,11,33,11,24,11,11
287159,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
287801,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
287802,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
287803,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
287804,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297008,4,,4,,89,,5,,89,,5,,88,,3,,88,,79,,187,,27,,
297015,4,,4,,92,,4,,87,,5,,89,,4,,87,,83,,372,,28,,
297020,4,11,4,11,92,11,4,11,90,11,5,11,91,11,4,11,89,11,94,11,41,11,28,11,11
297022,3,,3,,88,,4,,84,,3,,81,,3,,86,,79,,296,,25,,
297030,3,,2,,85,,3,,81,,2,,77,,3,,82,,74,,304,,17,,
297032,Not Available,11,Not Available,11,89,11,Not Available,11,88,11,Not Available,11,86,11,Not Available,11,94,11,72,11,36,11,16,11,11
297034,Not Available,9,Not Available,9,96,9,Not Available,9,87,9,Not Available,9,95,9,Not Available,9,92,9,0,9,2,9,22,9,9
297035,4,,4,,89,,4,,83,,3,,81,,4,,88,,81,,280,,24,,
297036,3,,3,,88,,4,,88,,3,,80,,3,,85,,81,,173,,22,,
297040,3,,2,,84,,3,,80,,2,,75,,3,,81,,73,,175,,17,,
297049,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297056,Not Available,9,Not Available,9,87,9,Not Available,9,96,9,Not Available,9,99,9,Not Available,9,100,9,49,9,2,9,8,9,9
297068,3,,2,,86,,3,,82,,3,,82,,3,,84,,78,,165,,22,,
297078,Not Available,11,Not Available,11,92,11,Not Available,11,96,11,Not Available,11,76,11,Not Available,11,89,11,94,11,36,11,17,11,11
297082,5,11,5,11,93,11,5,11,93,11,5,11,90,11,4,11,89,11,88,11,59,11,29,11,11
297085,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297091,Not Available,11,Not Available,11,91,11,Not Available,11,92,11,Not Available,11,87,11,Not Available,11,86,11,92,11,20,11,15,11,11
297092,Not Available,11,Not Available,11,100,11,Not Available,11,96,11,Not Available,11,89,11,Not Available,11,100,11,100,11,27,11,19,11,11
297096,3,,4,,91,,4,,84,,2,,74,,3,,87,,82,,255,,16,,
297099,4,,3,,88,,4,,84,,4,,86,,3,,86,,77,,219,,28,,
297100,Not Available,11,Not Available,11,84,11,Not Available,11,67,11,Not Available,11,82,11,Not Available,11,76,11,75,11,26,11,14,11,11
297102,4,,4,,87,,4,,86,,4,,84,,3,,85,,78,,143,,24,,
297106,3,,2,,84,,4,,86,,3,,79,,3,,80,,73,,254,,21,,
297107,4,,4,,90,,4,,86,,3,,82,,3,,89,,80,,135,,21,,
297109,Not Available,11,Not Available,11,100,11,Not Available,11,93,11,Not Available,11,92,11,Not Available,11,100,11,84,11,14,11,25,11,11
297112,1,,1,,74,,1,,67,,2,,73,,1,,70,,56,,226,,17,,
297113,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297115,4,,4,,91,,4,,87,,4,,84,,4,,87,,84,,286,,30,,
297118,Not Available,11,Not Available,11,98,11,Not Available,11,88,11,Not Available,11,93,11,Not Available,11,87,11,92,11,24,11,36,11,11
297121,Not Available,11,Not Available,11,94,11,Not Available,11,94,11,Not Available,11,94,11,Not Available,11,99,11,99,11,17,11,12,11,11
297124,Not Available,11,Not Available,11,97,11,Not Available,11,86,11,Not Available,11,92,11,Not Available,11,83,11,92,11,13,11,20,11,11
297125,5,11,5,11,94,11,5,11,91,11,5,11,88,11,4,11,89,11,89,11,55,11,24,11,11
297127,Not Available,11,Not Available,11,95,11,Not Available,11,90,11,Not Available,11,95,11,Not Available,11,97,11,81,11,27,11,36,11,11
297128,4,11,3,11,89,11,3,11,82,11,5,11,89,11,3,11,82,11,81,11,53,11,28,11,11
297130,Not Available,9,Not Available,9,91,9,Not Available,9,66,9,Not Available,9,58,9,Not Available,9,33,9,100,9,3,9,20,9,9
297132,Not Available,11,Not Available,11,97,11,Not Available,11,82,11,Not Available,11,78,11,Not Available,11,98,11,92,11,16,11,19,11,11
297133,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297134,3,11,3,11,86,11,4,11,81,11,3,11,83,11,3,11,81,11,71,11,67,11,29,11,11
297135,Not Available,11,Not Available,11,82,11,Not Available,11,76,11,Not Available,11,67,11,Not Available,11,75,11,69,11,23,11,17,11,11
297141,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297142,Not Available,11,Not Available,11,85,11,Not Available,11,82,11,Not Available,11,81,11,Not Available,11,76,11,66,11,18,11,31,11,11
297143,3,,2,,85,,3,,81,,3,,81,,3,,81,,69,,268,,24,,
297144,4,11,3,11,88,11,5,11,94,11,4,11,85,11,4,11,89,11,76,11,46,11,20,11,11
297146,Not Available,11,Not Available,11,82,11,Not Available,11,89,11,Not Available,11,78,11,Not Available,11,75,11,69,11,13,11,19,11,11
297149,3,,4,,90,,4,,88,,2,,77,,3,,82,,76,,181,,27,,
297152,Not Available,11,Not Available,11,96,11,Not Available,11,94,11,Not Available,11,91,11,Not Available,11,100,11,94,11,29,11,20,11,11
297154,Not Available,9,Not Available,9,87,9,Not Available,9,88,9,Not Available,9,83,9,Not Available,9,90,9,65,9,7,9,8,9,9
297155,4,,4,,91,,4,,87,,5,,88,,4,,87,,83,,163,,18,,
297157,4,11,5,11,92,11,4,11,88,11,2,11,75,11,4,11,86,11,92,11,47,11,17,11,11
297158,Not Available,11,Not Available,11,95,11,Not Available,11,91,11,Not Available,11,84,11,Not Available,11,73,11,76,11,36,11,23,11,11
297159,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297160,4,,5,,93,,5,,92,,2,,76,,4,,93,,89,,193,,25,,
297164,Not Available,11,Not Available,11,95,11,Not Available,11,88,11,Not Available,11,88,11,Not Available,11,93,11,85,11,13,11,28,11,11
297166,Not Available,11,Not Available,11,92,11,Not Available,11,90,11,Not Available,11,86,11,Not Available,11,80,11,80,11,23,11,16,11,11
297167,3,11,3,11,88,11,3,11,82,11,2,11,73,11,3,11,78,11,68,11,44,11,21,11,11
297168,Not Available,11,Not Available,11,96,11,Not Available,11,88,11,Not Available,11,83,11,Not Available,11,89,11,86,11,25,11,16,11,11
297170,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297171,Not Available,11,Not Available,11,95,11,Not Available,11,78,11,Not Available,11,54,11,Not Available,11,90,11,84,11,36,11,22,11,11
297172,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297174,Not Available,11,Not Available,11,92,11,Not Available,11,79,11,Not Available,11,86,11,Not Available,11,90,11,85,11,22,11,14,11,11
297175,Not Available,11,Not Available,11,89,11,Not Available,11,83,11,Not Available,11,89,11,Not Available,11,87,11,90,11,11,11,12,11,11
297176,Not Available,9,Not Available,9,98,9,Not Available,9,98,9,Not Available,9,80,9,Not Available,9,95,9,95,9,2,9,7,9,9
297178,Not Available,9,Not Available,9,84,9,Not Available,9,93,9,Not Available,9,87,9,Not Available,9,74,9,99,9,8,9,8,9,9
297182,Not Available,11,Not Available,11,86,11,Not Available,11,83,11,Not Available,11,87,11,Not Available,11,87,11,88,11,23,11,12,11,11
297183,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297185,Not Available,11,Not Available,11,88,11,Not Available,11,79,11,Not Available,11,82,11,Not Available,11,67,11,49,11,34,11,13,11,11
297186,3,11,4,11,90,11,4,11,84,11,2,11,78,11,3,11,78,11,73,11,54,11,23,11,11
297187,Not Available,9,Not Available,9,75,9,Not Available,9,75,9,Not Available,9,79,9,Not Available,9,50,9,59,9,6,9,11,9,9
297191,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297192,Not Available,9,Not Available,9,100,9,Not Available,9,100,9,Not Available,9,96,9,Not Available,9,100,9,100,9,4,9,6,9,9
297194,Not Available,11,Not Available,11,86,11,Not Available,11,83,11,Not Available,11,71,11,Not Available,11,62,11,63,11,18,11,17,11,11
297195,Not Available,9,Not Available,9,75,9,Not Available,9,100,9,Not Available,9,99,9,Not Available,9,100,9,100,9,1,9,4,9,9
297197,Not Available,9,Not Available,9,98,9,Not Available,9,93,9,Not Available,9,91,9,Not Available,9,100,9,100,9,9,9,8,9,9
297198,4,,4,,90,,5,,88,,3,,80,,4,,88,,85,,114,,24,,
297199,Not Available,9,Not Available,9,100,9,Not Available,9,100,9,Not Available,9,85,9,Not Available,9,100,9,52,9,4,9,7,9,9
297200,Not Available,11,Not Available,11,89,11,Not Available,11,84,11,Not Available,11,83,11,Not Available,11,80,11,84,11,12,11,10,11,11
297202,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297203,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297204,2,11,1,11,81,11,2,11,80,11,2,11,74,11,2,11,80,11,58,11,44,11,21,11,11
297205,Not Available,11,Not Available,11,93,11,Not Available,11,84,11,Not Available,11,99,11,Not Available,11,87,11,88,11,18,11,36,11,11
297207,Not Available,9,Not Available,9,100,9,Not Available,9,100,9,Not Available,9,98,9,Not Available,9,88,9,88,9,6,9,13,9,9
297210,2,,1,,82,,4,,84,,1,,66,,2,,76,,66,,167,,14,,
297211,4,11,3,11,85,11,4,11,82,11,4,11,84,11,4,11,85,11,80,11,55,11,32,11,11
297214,Not Available,11,Not Available,11,95,11,Not Available,11,94,11,Not Available,11,84,11,Not Available,11,92,11,92,11,21,11,12,11,11
297215,Not Available,9,Not Available,9,87,9,Not Available,9,87,9,Not Available,9,86,9,Not Available,9,78,9,46,9,9,9,14,9,9
297216,Not Available,11,Not Available,11,91,11,Not Available,11,87,11,Not Available,11,83,11,Not Available,11,71,11,80,11,16,11,13,11,11
297217,Not Available,11,Not Available,11,91,11,Not Available,11,82,11,Not Available,11,78,11,Not Available,11,81,11,78,11,26,11,19,11,11
297218,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297219,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297220,Not Available,9,Not Available,9,85,9,Not Available,9,81,9,Not Available,9,82,9,Not Available,9,93,9,60,9,8,9,7,9,9
297221,Not Available,9,Not Available,9,93,9,Not Available,9,79,9,Not Available,9,91,9,Not Available,9,81,9,80,9,5,9,13,9,9
297222,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297223,3,11,3,11,85,11,4,11,80,11,2,11,72,11,3,11,79,11,85,11,47,11,17,11,11
297225,4,11,4,11,88,11,5,11,87,11,4,11,84,11,3,11,82,11,78,11,47,11,15,11,11
297226,Not Available,9,Not Available,9,100,9,Not Available,9,98,9,Not Available,9,77,9,Not Available,9,89,9,63,9,9,9,8,9,9
297227,Not Available,11,Not Available,11,87,11,Not Available,11,83,11,Not Available,11,80,11,Not Available,11,75,11,75,11,22,11,11,11,11
297230,Not Available,"9,10",Not Available,"9,10",94,"9,10",Not Available,"9,10",90,"9,10",Not Available,"9,10",89,"9,10",Not Available,"9,10",95,"9,10",93,"9,10",10,"9,10",15,"9,10","9,10"
297232,3,,2,,84,,4,,85,,2,,73,,2,,80,,71,,188,,23,,
297233,2,11,3,11,85,11,2,11,77,11,1,11,60,11,3,11,85,11,77,11,41,11,18,11,11
297235,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297236,4,,4,,90,,4,,87,,4,,84,,3,,89,,82,,147,,29,,
297237,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297238,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297239,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297240,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297241,Not Available,11,Not Available,11,93,11,Not Available,11,94,11,Not Available,11,85,11,Not Available,11,95,11,91,11,20,11,14,11,11
297242,Not Available,9,Not Available,9,90,9,Not Available,9,86,9,Not Available,9,85,9,Not Available,9,88,9,68,9,8,9,10,9,9
297243,3,11,3,11,90,11,3,11,81,11,3,11,80,11,3,11,76,11,66,11,58,11,12,11,11
297244,Not Available,9,Not Available,9,100,9,Not Available,9,83,9,Not Available,9,70,9,Not Available,9,87,9,100,9,5,9,9,9,9
297245,Not Available,11,Not Available,11,84,11,Not Available,11,85,11,Not Available,11,82,11,Not Available,11,79,11,81,11,18,11,18,11,11
297246,Not Available,11,Not Available,11,84,11,Not Available,11,80,11,Not Available,11,85,11,Not Available,11,68,11,73,11,22,11,13,11,11
297247,Not Available,9,Not Available,9,86,9,Not Available,9,95,9,Not Available,9,88,9,Not Available,9,92,9,92,9,10,9,20,9,9
297248,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297249,3,,3,,87,,4,,87,,2,,77,,3,,82,,78,,309,,29,,
297250,Not Available,11,Not Available,11,77,11,Not Available,11,70,11,Not Available,11,81,11,Not Available,11,72,11,70,11,24,11,10,11,11
297252,Not Available,11,Not Available,11,87,11,Not Available,11,88,11,Not Available,11,88,11,Not Available,11,74,11,75,11,25,11,20,11,11
297254,3,11,3,11,87,11,2,11,79,11,3,11,80,11,3,11,78,11,70,11,61,11,25,11,11
297255,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297256,4,,3,,86,,4,,87,,4,,84,,3,,84,,81,,119,,15,,
297257,Not Available,11,Not Available,11,100,11,Not Available,11,95,11,Not Available,11,86,11,Not Available,11,78,11,100,11,13,11,13,11,11
297258,Not Available,11,Not Available,11,78,11,Not Available,11,72,11,Not Available,11,69,11,Not Available,11,60,11,51,11,14,11,9,11,11
297259,Not Available,9,Not Available,9,91,9,Not Available,9,81,9,Not Available,9,100,9,Not Available,9,75,9,63,9,10,9,16,9,9
297260,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297261,Not Available,11,Not Available,11,95,11,Not Available,11,92,11,Not Available,11,86,11,Not Available,11,100,11,81,11,19,11,11,11,11
297262,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297264,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297265,Not Available,"10,11",Not Available,"10,11",89,"10,11",Not Available,"10,11",95,"10,11",Not Available,"10,11",84,"10,11",Not Available,"10,11",96,"10,11",85,"10,11",15,"10,11",45,"10,11","10,11"
297266,Not Available,11,Not Available,11,88,11,Not Available,11,85,11,Not Available,11,78,11,Not Available,11,71,11,83,11,26,11,11,11,11
297267,3,11,2,11,88,11,2,11,82,11,4,11,86,11,2,11,75,11,82,11,40,11,12,11,11
297268,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297269,Not Available,11,Not Available,11,97,11,Not Available,11,94,11,Not Available,11,87,11,Not Available,11,96,11,95,11,22,11,23,11,11
297270,Not Available,11,Not Available,11,75,11,Not Available,11,66,11,Not Available,11,87,11,Not Available,11,50,11,55,11,27,11,16,11,11
297271,4,11,5,11,94,11,5,11,88,11,3,11,82,11,4,11,92,11,81,11,48,11,32,11,11
297272,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297300,Not Available,11,Not Available,11,96,11,Not Available,11,93,11,Not Available,11,88,11,Not Available,11,92,11,91,11,22,11,29,11,11
297301,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297302,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297303,5,11,5,11,98,11,5,11,94,11,5,11,94,11,5,11,95,11,91,11,50,11,14,11,11
297304,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297305,3,,3,,86,,4,,84,,2,,74,,3,,78,,80,,71,,17,,
297306,Not Available,11,Not Available,11,98,11,Not Available,11,83,11,Not Available,11,87,11,Not Available,11,93,11,94,11,11,11,11,11,11
297307,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297308,Not Available,11,Not Available,11,93,11,Not Available,11,82,11,Not Available,11,91,11,Not Available,11,90,11,84,11,16,11,12,11,11
297309,2,11,1,11,75,11,1,11,69,11,2,11,71,11,2,11,68,11,58,11,42,11,12,11,11
297310,Not Available,11,Not Available,11,91,11,Not Available,11,89,11,Not Available,11,88,11,Not Available,11,85,11,61,11,19,11,12,11,11
297311,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297312,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297313,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297314,Not Available,11,Not Available,11,95,11,Not Available,11,89,11,Not Available,11,93,11,Not Available,11,86,11,98,11,14,11,13,11,11
297315,Not Available,9,Not Available,9,100,9,Not Available,9,100,9,Not Available,9,100,9,Not Available,9,0,9,100,9,1,9,14,9,9
297316,Not Available,11,Not Available,11,73,11,Not Available,11,82,11,Not Available,11,83,11,Not Available,11,59,11,76,11,21,11,14,11,11
297317,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297318,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297319,3,,3,,88,,2,,77,,2,,74,,3,,81,,73,,87,,15,,
297320,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297321,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297322,Not Available,11,Not Available,11,87,11,Not Available,11,84,11,Not Available,11,87,11,Not Available,11,85,11,81,11,24,11,13,11,11
297323,Not Available,9,Not Available,9,100,9,Not Available,9,100,9,Not Available,9,100,9,Not Available,9,100,9,100,9,1,9,6,9,9
297324,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297325,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297326,3,,4,,90,,3,,82,,3,,80,,3,,83,,85,,101,,19,,
297327,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297328,Not Available,11,Not Available,11,90,11,Not Available,11,80,11,Not Available,11,83,11,Not Available,11,69,11,77,11,32,11,13,11,11
297329,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297330,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
297331,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
