"ENROLLMENT ID","ENROLLMENT STATE","PROVIDER TYPE CODE","PROVIDER TYPE TEXT",NPI,"MULTIPLE NPI FLAG",CCN,"ASSOCIATE ID","ORGANIZATION NAME","DOING BUSINESS AS NAME","INCORPORATION DATE","INCORPORATION STATE","ORGANIZATION TYPE STRUCTURE","ORGANIZATION OTHER TYPE TEXT",PROPRIETARY_NONPROFIT,"ADDRESS LINE 1","ADDRESS LINE 2",CITY,STATE,"ZIP CODE","PRACTICE LOCATION TYPE","LOCATION OTHER TYPE TEXT"
O20021021000023,PA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1093788002,N,397456D,6406764042,"ANDVENTURE, LLC","AVEANNA HEALTHCARE",2020-12-31,PA,LLC,"",P,"1862 CHARTER LN","STE 102",LANCASTER,PA,176015858,"",""
O20021022000000,CT,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1134128895,N,077232,7719895366,"EQUINOX HOME CARE, LLC","EQUINOX HOME CARE, LLC",2002-06-04,CT,LLC,"",P,"305 BOSTON AVE","STE 308",STRATFORD,CT,066145246,"HHA BRANCH",""
O20021022000035,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1194882035,N,058148,1153239736,"ENMED, LLC","QUALITY HOME HEALTH AGENCY","","",LLC,"",P,"4375E LOWELL ST I","",ONTARIO,CA,917612227,"HHA BRANCH",""
O20021022000037,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1609863547,N,058198,3870401458,"MULTI-SKILLED HOME CARE SERVICES, INC.","",2002-08-13,CA,CORPORATION,"",P,"19608 CAMINO DE ROSA","",WALNUT,CA,917892103,"HHA BRANCH",""
O20021022000038,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1780633933,N,058200,4789592361,"SUNRISE HOME CARE SERVICES, INC.","",2002-05-22,CA,CORPORATION,"",P,"941S ATLANTIC BLVD 222","","MONTEREY PARK",CA,917544722,"",""
O20021023000020,PA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1821061979,N,397023,2961310446,"LEHIGH VALLEY HOSPITAL","LEHIGH VALLEY HOME CARE",1971-05-20,PA,CORPORATION,"",N,"2024 LEHIGH ST","",ALLENTOWN,PA,181034938,"",""
O20021023000022,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1003846130,N,057143,7618884529,"CENTERWELL CERTIFIED HEALTHCARE CORP","CENTERWELL HOME HEALTH",1983-04-19,DE,CORPORATION,"",P,"2525 CAMINO DEL RIO S","STE 220","SAN DIEGO",CA,921083719,"",""
O20021024000009,MA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1649258278,N,227067A,1658289137,"VISITING NURSE ASSOCIATION OF CAPE COD, INC.","VNA OF CAPE COD, INC",1998-01-01,MA,CORPORATION,"",N,"434 ROUTE 134","SUITE 1, BLDG G","SOUTH DENNIS",MA,026601401,"HHA BRANCH",""
O20021025000008,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1326356593,N,679217,7618885112,"MATRIX HHA, INC.","MATRIX HOME HEALTH SERVICES",2010-03-20,TX,CORPORATION,"",P,"11351 JAMES WATT","BUILDING C 400","EL PASO",TX,799366408,"",""
O20021025000025,VA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1558366211,N,497545,1850209354,"SOUTHWEST VIRGINIA HOME HEALTH CARE, INC","",1997-05-20,VA,CORPORATION,"",P,"2752 GLENDALE RD","",GALAX,VA,243335350,"",""
